gene	avg_logFC	p_val	p_adj_FDR	pct.1	pct.2	pct.2_mean	pct_ratio	pct_ratio_mean	comparison	comparison_logFC	comparison_FDR	comparison_pct.2
KRT17	0.406757801421935	1.44447884861715e-38	1.72057543866929e-37	1	0.999	0.976571428571429	0.999	0.976571428571429	c2	c3	c3	c1
IL33	0.534650158593457	1.52005784337177e-34	1.32442076908596e-33	0.83	0.629	0.363428571428571	0.757831325301205	0.437865748709122	c2	c3	c6	c1
MMP10	2.06958265527556	5.34704021222932e-30	3.26724989591415e-29	0.789	0.492	0.338571428571429	0.623574144486692	0.429114611624117	c2	c1	c6	c1
BCAM	0.470208423312307	3.56109214038474e-29	2.05582067736322e-28	0.973	0.916	0.514142857142857	0.94141829393628	0.528409925121128	c2	c3	c6	c3
ETS2	0.446728038283142	2.82260126760438e-27	1.41280201745517e-26	0.963	0.952	0.802285714285714	0.988577362409138	0.833110814419226	c2	c4	c6	c1
CYR61	0.62607157606409	2.72123428665264e-23	1.08274057663431e-22	0.809	0.662	0.52	0.818294190358467	0.642768850432633	c2	c3	c3	c7
F3	0.371434049366522	3.62943516079615e-21	1.23742698779318e-20	0.967	0.964	0.796142857142857	0.996897621509824	0.823312158369035	c2	c5	c5	c4
TSC22D1	0.327752040331724	2.88136535480792e-20	9.14456930480354e-20	0.991	0.976	0.942	0.984863773965691	0.950554994954591	c2	c3	c3	c3
PTPRZ1	0.2611469210258	4.41872067528856e-19	1.28532184094174e-18	0.721	0.726	0.420857142857143	1.00693481276006	0.583713096889241	c2	c4	c4	c1
ALDH3A1	0.40072590648042	1.88434684712286e-18	5.19229980422435e-18	0.983	0.986	0.869428571428571	1.0030518819939	0.884464467373928	c2	c4	c4	c1
ADH7	0.311794845787024	3.00875340991504e-18	8.17095803385295e-18	0.883	0.849	0.555285714285714	0.961494903737259	0.62886264358518	c2	c4	c4	c4
IFITM1	0.543765425766474	6.9330400507712e-18	1.84033587807495e-17	0.57	0.512	0.260714285714286	0.898245614035088	0.457393483709273	c2	c3	c6	c1
SDPR	0.709236401427352	3.02265305677208e-17	7.6460121678025e-17	0.593	0.459	0.229142857142857	0.774030354131535	0.386412912551193	c2	c4	c6	c1
LTB4R	0.329562985711638	5.25799722603871e-16	1.21566962891951e-15	0.665	0.649	0.277714285714286	0.97593984962406	0.417615467239527	c2	c1	c1	c1
SGK1	0.536679500603523	1.10516123161884e-15	2.50894262714917e-15	0.67	0.663	0.474285714285714	0.98955223880597	0.707889125799574	c2	c1	c5	c1
CH25H	0.441626233617602	1.49926149371302e-15	3.34313996583875e-15	0.606	0.397	0.288428571428571	0.655115511551155	0.475954738330976	c2	c3	c3	c3
SPINK5	0.477299720143279	5.34638306716635e-15	1.14993062084652e-14	0.501	0.431	0.193857142857143	0.860279441117764	0.386940404904477	c2	c4	c6	c1
EBPL	0.300657607133331	2.88734237921599e-14	5.84927702657104e-14	0.882	0.889	0.731571428571429	1.00793650793651	0.829446064139942	c2	c4	c6	c1
HCAR3	0.553102777587828	1.17382320833799e-12	2.11602995985833e-12	0.481	0.367	0.171714285714286	0.762993762993763	0.356994356994357	c2	c1	c6	c1
SNCA	0.335998140487749	4.02686611872611e-12	6.95919378828516e-12	0.774	0.783	0.451857142857143	1.01162790697674	0.583794758213363	c2	c1	c6	c1
CYP24A1	0.515698026087096	4.17402516832789e-12	7.2002890621385e-12	0.374	0.233	0.0835714285714286	0.622994652406417	0.223453017570665	c2	c1	c6	c1
ZFP36L2	0.329999839007519	4.23178107312183e-12	7.29323441356711e-12	0.919	0.86	0.715714285714286	0.935799782372144	0.778796828851236	c2	c3	c3	c3
ERRFI1	0.333615398844547	8.04562783545603e-11	1.25036098978763e-10	0.744	0.727	0.573857142857143	0.977150537634409	0.771313364055299	c2	c4	c4	c1
HCAR2	0.390691032760654	9.14038224784544e-11	1.41117304269443e-10	0.632	0.561	0.422714285714286	0.887658227848101	0.668851717902351	c2	c3	c6	c1
LMO4	0.261146270653136	4.54478206006754e-10	6.64074521509869e-10	0.901	0.914	0.840285714285714	1.01442841287458	0.932614555256065	c2	c4	c3	c1
FTL	0.259860376786671	5.23961198043839e-10	7.63822598542606e-10	1	1	0.997571428571429	1	0.997571428571429	c2	c3	c3	c3
FLRT3	0.280018002945159	8.82352976501911e-10	1.26762465784473e-09	0.319	0.176	0.0862857142857143	0.551724137931034	0.270488132557098	c2	c3	c6	c3
NCOA7	0.298616948544758	3.28761259039069e-09	4.57639563248171e-09	0.917	0.961	0.887714285714286	1.04798255179935	0.968063561302383	c2	c1	c1	c1
PCP4L1	0.353489412835051	6.07271247290178e-09	8.25783589161932e-09	0.58	0.59	0.231	1.01724137931034	0.398275862068966	c2	c1	c1	c1
BST2	0.408689950737337	3.80834971460035e-08	4.9024036681791e-08	0.644	0.644	0.449142857142857	1	0.697426796805679	c2	c4	c6	c5
RMDN2	0.286592309428692	1.19689289142287e-07	1.50370655651391e-07	0.27	0.112	0.0767142857142857	0.414814814814815	0.284126984126984	c2	c3	c6	c1
